"","id","date","saleval"
"1","040.44.03.009.00",2016-01-01,2000
"2","040.44.09.038.00",2016-01-01,25000
"3","043.00.03.003.12",2016-01-01,152500
"4","045.00.02.043.00",2016-01-01,244000
"5","045.30.00.002.74",2016-01-01,105000
"6","045.30.00.202.00",2016-01-01,117000
"7","045.30.00.287.00",2016-01-01,25000
"8","054.14.14.011.01",2016-01-01,700000
"9","054.14.14.012.00",2016-01-01,700000
"10","054.21.23.002.00",2016-01-01,150000
"11","054.22.34.021.00",2016-01-01,1200
"12","054.23.16.005.01",NA,NA
"13","055.11.08.006.00",2016-01-01,5500
"14","055.11.17.023.00",2016-01-01,20000
"15","055.11.17.038.00",2016-01-01,13500
"16","055.11.30.021.00",2016-01-01,1000
"17","055.13.10.001.00",2016-01-01,365000
"18","055.13.11.011.00",2016-01-01,20000
"19","055.14.01.002.00",2016-01-01,25800
"20","055.14.02.004.00",2016-01-01,96500
"21","055.20.10.025.01",2016-01-01,116000
"22","055.24.12.004.00",2016-01-01,42600
"23","055.32.01.010.00",2016-01-01,50000
"24","055.32.04.001.00",2016-01-01,157000
"25","055.32.14.004.00",2016-01-01,62500
"26","055.42.01.021.00",2016-01-01,12700
"27","056.11.02.038.00",2016-01-01,27000
"28","056.13.02.047.00",2016-01-01,77000
"29","056.23.02.015.00",2016-01-01,104500
"30","056.32.05.018.00",2016-01-01,135500
"31","056.32.23.028.00",2016-01-01,100000
"32","056.41.06.007.00",2016-01-01,27000
"33","056.43.09.024.00",2016-01-01,74500
"34","059.30.00.055.00",2016-01-01,145000
"35","843.00.03.003.33",2016-01-01,152500
"36","854.14.12.003.04",2016-01-01,530000
"37","854.21.14.010.11",2016-01-01,181100
"38","854.21.14.010.12",2016-01-01,181100
"39","854.21.14.010.13",2016-01-01,181100
"40","854.21.14.010.14",2016-01-01,181100
"41","040.10.02.010.00",2016-02-01,17000
"42","040.30.00.001.13",2016-02-01,132500
"43","040.30.00.092.01",2016-02-01,42600
"44","040.30.00.129.00",2016-02-01,30600
"45","040.30.00.130.00",2016-02-01,30600
"46","040.30.00.144.00",2016-02-01,55000
"47","040.34.07.001.00",2016-02-01,1702700
"48","040.41.12.147.00",2016-02-01,135000
"49","040.41.12.229.00",2016-02-01,80000
"50","040.43.09.030.00",2016-02-01,30000
"51","040.44.01.040.00",2016-02-01,34000
"52","040.44.03.018.00",2016-02-01,115000
"53","040.44.06.017.00",2016-02-01,115000
"54","040.44.14.026.00",2016-02-01,33000
"55","040.44.16.018.01",2016-02-01,94000
"56","040.44.17.007.00",2016-02-01,33000
"57","041.30.00.014.00",2016-02-01,4430000
"58","041.33.08.010.00",2016-02-01,4000
"59","042.30.00.084.01",2016-02-01,336100
"60","044.40.00.002.19",2016-02-01,117000
"61","045.00.00.022.00",2016-02-01,80000
"62","045.00.01.004.00",2016-02-01,118900
"63","045.00.01.164.00",2016-02-01,188000
"64","045.00.01.191.00",2016-02-01,139000
"65","045.00.01.234.00",2016-02-01,139900
"66","045.00.02.020.00",2016-02-01,36000
"67","045.00.02.025.00",2016-02-01,250000
"68","045.10.01.148.00",2016-02-01,131500
"69","045.30.00.001.16",2016-02-01,130000
"70","045.30.00.167.00",2016-02-01,98000
"71","045.30.01.111.00",2016-02-01,139900
"72","054.14.07.003.00",2016-02-01,66000
"73","054.14.14.016.00",2016-02-01,80000
"74","054.14.15.007.00",2016-02-01,1551000
"75","054.21.09.003.00",2016-02-01,30000
"76","054.21.24.009.00",2016-02-01,450000
"77","054.22.12.033.00",2016-02-01,219500
"78","054.22.18.010.00",2016-02-01,3000
"79","054.22.27.018.00",2016-02-01,3500
"80","054.22.36.001.00",2016-02-01,115000
"81","054.22.39.001.00",2016-02-01,185000
"82","054.22.39.003.00",2016-02-01,295000
"83","054.23.01.007.00",2016-02-01,95000
"84","054.24.06.019.00",2016-02-01,52000
"85","054.24.21.017.00",2016-02-01,1000
"86","054.24.24.020.00",2016-02-01,12000
"87","054.42.01.010.00",2016-02-01,7500
"88","054.42.05.043.00",2016-02-01,17500
"89","055.11.08.006.00",2016-02-01,14000
"90","055.11.17.045.00",2016-02-01,7000
"91","055.11.17.049.00",2016-02-01,25000
"92","055.11.19.005.00",2016-02-01,8500
"93","055.11.32.028.00",2016-02-01,15000
"94","055.12.02.061.00",2016-02-01,129000
"95","055.13.11.038.00",2016-02-01,5000
"96","055.14.06.027.00",2016-02-01,9000
"97","055.14.17.009.00",2016-02-01,75000
"98","055.14.21.030.00",2016-02-01,34000
"99","055.23.02.034.00",2016-02-01,7000
"100","055.23.08.006.00",2016-02-01,700
"101","055.23.09.023.00",2016-02-01,32700
"102","055.23.09.024.00",2016-02-01,40400
"103","055.23.10.012.00",2016-02-01,35000
"104","055.23.11.012.00",2016-02-01,2500
"105","055.23.11.019.00",2016-02-01,17000
"106","055.24.06.003.00",2016-02-01,77000
"107","055.24.06.004.00",2016-02-01,77000
"108","055.24.10.008.00",2016-02-01,68000
"109","055.31.01.015.00",2016-02-01,8000
"110","055.31.12.006.00",2016-02-01,46600
"111","055.31.13.004.00",2016-02-01,25000
"112","055.31.20.009.00",2016-02-01,47600
"113","055.32.01.006.00",2016-02-01,75000
"114","055.32.04.062.00",2016-02-01,85000
"115","055.32.08.008.00",2016-02-01,330500
"116","055.32.10.001.00",2016-02-01,81500
"117","055.32.10.023.00",2016-02-01,8000
"118","055.32.16.011.00",2016-02-01,65000
"119","055.32.19.017.00",2016-02-01,50000
"120","055.32.21.001.00",2016-02-01,50000
"121","055.41.02.020.00",2016-02-01,24500
"122","056.11.05.021.00",2016-02-01,21000
"123","056.11.07.004.00",2016-02-01,22000
"124","056.12.03.016.00",2016-02-01,75000
"125","056.12.04.003.00",2016-02-01,20200
"126","056.12.06.001.00",2016-02-01,38000
"127","056.12.16.002.00",2016-02-01,51000
"128","056.13.07.009.00",2016-02-01,60700
"129","056.13.12.010.00",2016-02-01,89000
"130","056.13.13.006.00",2016-02-01,53100
"131","056.14.13.016.00",2016-02-01,48500
"132","056.31.02.020.00",2016-02-01,70000
"133","056.31.07.016.00",2016-02-01,35000
"134","056.31.19.012.00",2016-02-01,25000
"135","056.32.23.008.00",2016-02-01,9200
"136","056.32.23.018.00",2016-02-01,20000
"137","056.32.25.007.00",2016-02-01,89000
"138","056.32.25.022.00",2016-02-01,4200
"139","056.32.26.016.00",2016-02-01,100000
"140","056.33.01.006.00",2016-02-01,85000
"141","056.42.01.019.00",2016-02-01,19900
"142","056.42.01.042.00",2016-02-01,58000
"143","056.43.10.010.00",2016-02-01,79900
"144","058.40.00.250.00",2016-02-01,80100
"145","059.30.10.073.00",2016-02-01,208000
"146","840.41.10.101.09",2016-02-01,80000
"147","840.41.10.106.11",2016-02-01,135000
