PIDN,ADDRESS,SALE_TEXT,SALES_CODE,LANDUSE_TE,RECD_DATE,RECD_PRICE,CITY_TEXT,DEED,lat,long
040-10-01-002.03,329-31 ALTAMONT RD,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,SINGLE FAMILY,12/13/2018,35000,COVINGTON,C 6563/ 244,39.0926,-84.5376
040-10-01-014.00,383 ALTAMONT RD,,9999,SINGLE FAMILY,12/28/2018,50000,COVINGTON,C 6572/ 162,39.0913,-84.5359
040-14-00-002.00,713 SHORT JOHN ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,12/6/2018,12000,COVINGTON,C 6558/ 300,39.0868,-84.5351
040-43-12-019.00,637 MAIN ST,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,4-19 UNIT APARTMENTS,12/3/2018,173000,COVINGTON,C 6555/ 333,39.0829,-84.5178
040-44-04-029.00,862 CRESCENT AVE,,9999,SINGLE FAMILY,12/27/2018,30000,COVINGTON,C 6571/ 338,39.0791,-84.5226
040-44-04-032.00,870 CRESCENT AVE,,9999,SINGLE FAMILY,12/27/2018,21000,COVINGTON,C 6571/ 332,39.0788,-84.5224
040-44-05-005.00,901 BAKER ST,,9999,SINGLE FAMILY,12/28/2018,15000,COVINGTON,C 6571/ 345,39.0783,-84.5232
040-44-05-025.02,914 WESTERN AVE,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/11/2018,69900,COVINGTON,C 6561/ 246,39.0779,-84.5237
040-44-07-023.00,714 PIKE ST,,9999,THREE FAMILY,12/28/2018,44000,COVINGTON,C 6572/ 203,39.0761,-84.5235
040-44-14-008.00,809 BAKEWELL ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,12/7/2018,40000,COVINGTON,C 6559/ 120,39.0811,-84.519
040-44-17-031.00,920 PHILADELPHIA ST,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/18/2018,50000,COVINGTON,C 6565/ 201,39.0792,-84.5191
041-30-02-006.66,1204 GRAYS PEAK,GOOD SALE/ARMS LENGTH TRANSACTION,0,LANDOMINIUM,12/17/2018,528000,COVINGTON,C 6565/  55,39.0739,-84.5233
041-33-01-007.01,1107-09 PIKE ST,GD SL NEEDS REHAB/ESTATE SALE/RELO,20,SINGLE FAMILY,12/10/2018,20000,COVINGTON,C 6560/ 329,39.0751,-84.5236
041-33-07-011.00,621-23 12TH ST W,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/6/2018,123000,COVINGTON,C 6558/  86,39.0754,-84.5207
043-00-03-006.13,2504 ROLLING HILLS DR,FAMILY/BUSINESS XFR/NOT ARMS LENGTH,2,GARAGE/PARKING SPACE,12/10/2018,161200,COVINGTON,I 4203/ 177,39.0096,-84.5232
044-40-00-002.04,9128 CLEAR BROOK LN,GOOD SALE/ARMS LENGTH TRANSACTION,0,SINGLE FAMILY,12/10/2018,140000,COVINGTON,I 4203/ 215,38.9873,-84.5186
