id,date,hap,fdate,saledate,saleval,fdummy,sdummy,spell
040.30.00.121.00,1/1/14,0,,,10.37349118,0,0,60
040.44.05.025.00,1/1/14,0,,,9.903487553,0,0,60
040.44.14.030.00,1/1/14,0,,,9.61580548,0,0,60
041.33.03.006.00,1/1/14,0,,10/1/16,10.1266311,0,1,33
041.33.03.006.00,1/1/14,0,,5/1/17,10.1266311,0,1,40
041.33.03.006.00,1/1/14,0,,7/1/16,10.1266311,0,1,30
041.40.00.027.03,1/1/14,0,,,10.59663473,0,0,60
045.30.00.215.00,1/1/14,0,,,11.56171563,0,0,60
045.30.00.297.00,1/1/14,0,,,11.40756495,0,0,60
045.30.00.349.00,1/1/14,0,,,11.28853113,0,0,60
045.30.01.127.00,1/1/14,0,,5/1/18,11.66992921,0,1,52
045.30.01.127.00,1/1/14,0,,1/1/17,11.66992921,0,1,36
045.30.01.154.00,1/1/14,0,,,11.75194237,0,0,60
045.40.00.170.00,1/1/14,0,,,10.91508846,0,0,60
054.22.03.005.00,1/1/14,0,,2/1/17,10.29214554,0,1,37
054.22.12.012.00,1/1/14,0,,3/1/17,11.81303006,0,1,38
054.22.12.012.00,1/1/14,0,,4/1/17,11.81303006,0,1,39
054.22.22.012.00,1/1/14,0,,4/1/18,10.28874995,0,1,51
054.22.22.012.00,1/1/14,0,,9/1/18,10.28874995,0,1,56
055.11.08.003.00,1/1/14,0,,10/1/15,9.392661929,0,1,21
055.11.22.039.00,1/1/14,0,,10/1/18,9.75846178,0,1,57
055.11.25.017.00,1/1/14,0,,,9.392661929,0,0,60
055.12.02.054.00,1/1/14,0,,,9.975808214,0,0,60
055.12.02.080.01,1/1/14,0,,,11.32659589,0,0,60
055.12.08.016.00,1/1/14,0,,,9.472704636,0,0,60
055.12.19.003.00,1/1/14,0,,,11.32659589,0,0,60
055.12.22.010.00,1/1/14,0,,,9.661415991,0,0,60
055.13.01.019.00,1/1/14,0,,,9.210340372,0,0,60
055.13.01.023.00,1/1/14,0,,,10.22194128,0,0,60
055.13.17.008.00,1/1/14,0,,2/1/15,9.546812609,0,1,13
055.13.17.008.00,1/1/14,0,,2/1/15,9.546812609,0,1,13
055.14.04.013.00,1/1/14,0,,,11.13458902,0,0,60
055.14.06.036.00,1/1/14,0,,,9.546812609,0,0,60
055.14.17.010.00,1/1/14,0,,1/1/17,10.1266311,0,1,36
055.14.25.006.00,1/1/14,0,,7/1/15,9.472704636,0,1,18
055.21.10.029.00,1/1/14,0,,,11.51292546,0,0,60
055.23.08.010.00,1/1/14,0,,3/1/18,7.824046011,0,1,50
055.23.14.008.01,1/1/14,0,,,11.31447453,0,0,60
055.24.02.005.00,1/1/14,0,,5/1/17,9.392661929,0,1,40
055.24.02.005.00,1/1/14,0,,8/1/18,9.392661929,0,1,55
055.24.02.005.00,1/1/14,0,,11/1/18,9.392661929,0,1,58
055.24.02.005.00,1/1/14,0,,7/1/15,9.392661929,0,1,18
055.31.12.004.00,1/1/14,0,,7/1/16,9.059517482,0,1,30
055.32.03.001.00,1/1/14,0,,,10.1266311,0,0,60
055.32.08.002.00,1/1/14,0,,,10.93310697,0,0,60
055.32.17.002.00,1/1/14,0,,,10.18490001,0,0,60
055.32.23.020.00,1/1/14,0,,7/1/17,10.75577295,0,1,42
055.32.33.023.00,1/1/14,0,,6/1/17,9.971146201,0,1,41
055.32.33.023.00,1/1/14,0,,8/1/16,9.971146201,0,1,31
056.11.03.014.00,1/1/14,0,,,10.76848499,0,0,60
056.12.07.006.00,1/1/14,0,,,10.06900199,0,0,60
056.12.15.005.00,1/1/14,0,,10/1/17,9.350102314,0,1,45
056.12.15.005.00,1/1/14,0,,10/1/16,9.350102314,0,1,33
056.13.02.137.00,1/1/14,0,,,11.46163217,0,0,60
056.13.03.002.00,1/1/14,0,,3/1/18,11.08214255,0,1,50
056.23.01.011.00,1/1/14,0,,6/1/16,10.1266311,0,1,29
056.32.01.007.01,1/1/14,0,,8/1/16,11.75587164,0,1,31
056.32.01.007.01,1/1/14,0,12/1/16,,11.75587164,1,0,35
056.41.10.001.00,1/1/14,0,,,9.998797732,0,0,60
056.41.10.026.00,1/1/14,0,,,10.57131693,0,0,60
056.42.02.007.00,1/1/14,0,,8/1/17,10.63344871,0,1,43
056.42.02.007.00,1/1/14,0,,10/1/18,10.63344871,0,1,57
