id,date,hap,fdate,saledate,fdummy,sdummy,spell,saleval,sqft,age
045.30.00.297.00,1/1/14,0,,,0,0,60,11.40756495,7.171656823,3.850147602
054.22.22.012.00,1/1/14,0,,4/1/18,0,1,51,10.28874995,7.067319849,4.700480366
054.22.22.012.00,1/1/14,0,,9/1/18,0,1,56,10.28874995,7.067319849,4.700480366
055.11.22.039.00,1/1/14,0,,10/1/18,0,1,57,9.75846178,7.262628601,4.852030264
055.12.02.054.00,1/1/14,0,,,0,0,60,9.975808214,7.452982329,4.543294782
055.12.08.016.00,1/1/14,0,,,0,0,60,9.472704636,6.880384082,4.997212274
055.12.19.003.00,1/1/14,0,,,0,0,60,11.32659589,7.342779189,4.394449155
055.12.22.010.00,1/1/14,0,,,0,0,60,9.661415991,6.851184927,4.584967479
055.13.01.023.00,1/1/14,0,,,0,0,60,10.22194128,7.286191715,4.532599493
055.14.04.013.00,1/1/14,0,,,0,0,60,11.13458902,7.491087594,4.852030264
055.14.17.010.00,1/1/14,0,,1/1/17,0,1,36,10.1266311,7.658227526,4.820281566
055.14.25.006.00,1/1/14,0,,7/1/15,0,1,18,9.472704636,7.568379268,4.9698133
055.21.10.029.00,1/1/14,0,,,0,0,60,11.51292546,7.013915475,3.891820298
055.23.14.008.01,1/1/14,0,,,0,0,60,11.31447453,7.935945103,4.779123493
055.24.02.005.00,1/1/14,0,,5/1/17,0,1,40,9.392661929,7.534762657,4.532599493
055.24.02.005.00,1/1/14,0,,8/1/18,0,1,55,9.392661929,7.534762657,4.532599493
055.24.02.005.00,1/1/14,0,,11/1/18,0,1,58,9.392661929,7.534762657,4.532599493
055.24.02.005.00,1/1/14,0,,7/1/15,0,1,18,9.392661929,7.534762657,4.532599493
055.32.03.001.00,1/1/14,0,,,0,0,60,10.1266311,7.895808377,4.65396035
055.32.08.002.00,1/1/14,0,,,0,0,60,10.93310697,7.829630389,4.762173935
055.32.17.002.00,1/1/14,0,,,0,0,60,10.18490001,6.891625897,4.644390899
055.32.23.020.00,1/1/14,0,,7/1/17,0,1,42,10.75577295,7.445417557,4.644390899
055.32.33.023.00,1/1/14,0,,6/1/17,0,1,41,9.971146201,7.65396918,4.615120517
055.32.33.023.00,1/1/14,0,,8/1/16,0,1,31,9.971146201,7.65396918,4.615120517
056.11.03.014.00,1/1/14,0,,,0,0,60,10.76848499,7.38274645,4.49980967
