id,hap,fdummy,sdummy,spell,saleval
040.10.02.013.00,0,0,0,48,7.313220387
040.14.00.002.00,0,0,1,44,9.903487553
040.14.00.035.00,0,0,1,41,10.46310334
040.14.00.035.00,0,0,1,41,10.46310334
040.14.07.012.00,0,0,0,48,10.22194128
040.14.07.017.00,0,0,0,48,11.00209984
040.14.07.017.00,0,0,0,48,11.00209984
040.14.07.021.00,0,0,0,48,10.59663473
040.14.07.021.00,0,0,0,48,10.59663473
040.14.07.035.00,0,0,0,48,11.22524339
040.14.07.035.00,0,0,0,48,11.22524339
040.14.10.007.00,0,0,0,48,11.28978191
040.14.10.011.00,0,0,0,48,11.91839057
040.14.14.009.00,0,0,0,48,10.55841352
040.14.24.009.00,0,0,0,48,10.1266311
040.14.24.012.00,0,0,0,48,11.00209984
040.14.24.012.00,0,0,0,48,11.00209984
040.14.25.002.00,0,0,0,48,10.78931908
040.14.25.004.00,0,0,0,48,12.46843691
040.14.25.004.00,0,0,0,48,12.46843691
040.14.25.013.00,0,0,0,48,10.63344871
040.23.01.010.00,0,0,0,48,12.6854076
040.23.01.016.00,0,0,0,48,12.70381303
040.23.03.001.12,0,0,0,48,13.28787782
040.23.03.001.13,0,0,0,48,13.28787782
040.30.00.003.00,0,0,0,48,0
040.30.00.003.00,0,0,0,48,0
040.30.00.007.00,0,0,0,48,12.50617724
040.30.00.011.00,1,0,0,48,11.63955812
040.30.00.013.00,0,0,0,48,11.6127708
040.30.00.050.02,0,0,0,48,9.472704636
040.30.00.050.02,0,0,0,48,9.472704636
040.30.00.087.00,0,0,0,48,9.903487553
040.30.00.122.00,0,0,0,48,8.517193191
040.30.00.124.00,0,0,0,48,9.159047078
040.30.00.151.00,0,0,0,48,9.76995616
040.30.00.151.00,0,0,0,48,9.76995616
040.30.00.151.00,0,0,0,48,9.76995616
040.30.00.187.00,0,0,0,48,10.59663473
040.30.01.015.00,0,0,0,48,8.160518247
040.30.01.020.09,0,0,1,22,11.00209984
040.30.01.020.10,0,0,0,48,11.14041146
040.32.01.023.00,0,0,1,36,11.66134547
040.32.02.001.00,0,0,0,48,11.08214255
040.32.02.016.00,0,0,0,48,11.75743904
040.32.05.002.00,0,0,0,48,13.71015004
040.32.05.002.02,0,0,0,48,13.71015004
040.32.05.021.00,0,0,0,48,13.71015004
040.32.05.022.00,0,0,1,18,13.71015004
040.32.05.023.00,0,0,1,25,13.71015004
040.32.05.024.00,0,0,1,30,13.71015004
040.32.05.025.00,0,0,1,18,13.71015004
040.32.05.026.00,0,0,1,20,13.71015004
040.32.05.027.00,0,0,1,18,13.71015004
040.32.14.008.00,0,0,0,48,11.15625052
040.32.14.008.00,0,0,0,48,11.15625052
040.34.06.001.03,0,0,0,48,13.65299163
040.40.22.004.00,0,0,0,48,10.49127422
040.40.22.007.00,0,0,0,48,9.210340372
040.41.01.002.00,0,0,0,48,13.26905776
040.41.03.005.00,0,0,0,48,12.83201108
040.41.06.001.00,0,0,0,48,12.85055465
040.41.07.002.00,0,0,0,48,12.44901882
040.41.07.008.00,0,0,1,40,13.48700649
040.41.07.012.00,0,0,0,48,13.12236338
040.41.12.006.00,0,0,1,38,11.62625415
040.41.12.006.00,0,0,1,38,11.62625415
040.41.12.085.00,0,0,0,48,11.22524339
040.41.12.195.00,0,0,0,48,11.83500896
040.41.12.197.00,0,0,0,48,11.83500896
040.41.12.198.00,0,0,1,21,11.22524339
040.41.12.198.00,0,0,1,14,11.22524339
040.41.12.229.00,0,1,0,5,11.15625052
040.41.12.229.00,0,1,0,5,11.15625052
040.41.12.238.00,0,0,1,35,11.66392834
040.43.02.002.00,0,0,0,48,13.86430072
040.43.02.010.00,0,0,0,48,10.81977828
040.43.02.016.01,0,0,0,48,12.46342437
040.43.03.028.00,0,0,0,48,13.86430072
040.43.05.010.00,0,0,1,24,12.51355735
040.43.05.010.00,0,0,1,24,12.51355735
040.43.05.024.00,0,0,1,20,9.574983486
040.43.06.017.00,0,0,0,48,10.22194128
040.43.06.017.00,0,0,0,48,10.22194128
040.43.06.022.00,0,0,0,48,8.612503371
040.43.07.003.00,0,0,0,48,14.90151031
040.43.08.011.00,0,0,0,48,11.85722414
040.43.08.011.00,0,0,0,48,11.85722414
040.43.09.017.00,0,0,1,32,12.25486281
040.43.09.025.00,0,0,1,29,9.903487553
040.43.09.043.00,0,0,0,48,10.46310334
040.43.10.013.00,0,0,0,48,12.10071213
040.43.10.013.00,0,0,0,48,12.10071213
040.43.10.023.00,0,0,0,48,12.14472902
040.43.10.023.00,0,0,0,48,12.14472902
040.43.10.032.00,0,0,0,48,10.02127059
040.43.10.033.00,0,0,0,48,10.1266311
040.43.11.001.00,0,0,0,48,12.62148808
040.43.12.019.00,0,0,1,42,12.36776623
040.43.12.019.00,0,0,1,46,12.36776623
040.43.12.019.00,0,0,1,42,12.36776623
040.43.12.019.00,0,0,1,46,12.36776623
040.43.12.026.00,0,0,0,48,12.27373129
040.43.12.027.00,0,0,0,48,12.27373129
040.44.01.025.00,0,0,0,48,9.200290036
040.44.01.025.00,0,0,0,48,9.200290036
040.44.01.033.00,0,0,0,48,6.214608098
040.44.01.038.00,0,0,0,48,10.91508846
040.44.01.038.00,0,0,0,48,10.91508846
