id,hap,fdummy,sdummy,spell,age,sqft,saleval
040.14.00.002.00,0,0,1,44,4.927253685,7.129297549,9.903487553
040.14.00.035.00,0,0,1,41,4.804021045,7.718685495,10.46310334
040.14.00.035.00,0,0,1,41,4.804021045,7.718685495,10.46310334
040.14.07.035.00,0,0,0,48,4.584967479,7.565275282,11.22524339
040.14.07.035.00,0,0,0,48,4.584967479,7.565275282,11.22524339
040.14.10.007.00,0,0,0,48,4.110873864,7.251344983,11.28978191
040.14.10.011.00,0,0,0,48,4.110873864,6.858565035,11.91839057
040.14.25.002.00,0,0,0,48,4.49980967,7.494430215,10.78931908
040.14.25.013.00,0,0,0,48,4.96284463,6.986566459,10.63344871
040.23.01.010.00,0,0,0,48,4.143134726,7.659171368,12.6854076
040.23.01.016.00,0,0,0,48,4.143134726,8.095598701,12.70381303
040.30.00.124.00,0,0,0,48,5.164785974,7.232733136,9.159047078
040.30.01.020.09,0,0,1,22,4.343805422,7.271008538,11.00209984
040.32.01.023.00,0,0,1,36,4.605170186,7.307872781,11.66134547
040.32.02.016.00,0,0,0,48,4.762173935,7.898411093,11.75743904
040.32.05.021.00,0,0,0,48,1.098612289,7.763446389,13.71015004
040.32.05.022.00,0,0,1,18,0,7.763446389,13.71015004
040.32.05.023.00,0,0,1,25,0,7.763446389,13.71015004
040.32.05.024.00,0,0,1,30,0,7.763446389,13.71015004
040.32.05.025.00,0,0,1,18,0,7.763446389,13.71015004
040.32.05.026.00,0,0,1,20,0,7.763446389,13.71015004
040.32.05.027.00,0,0,1,18,0,7.763446389,13.71015004
040.32.14.008.00,0,0,0,48,4.553876892,7.491087594,11.15625052
040.32.14.008.00,0,0,0,48,4.553876892,7.491087594,11.15625052
040.41.01.002.00,0,0,0,48,3.63758616,8.031385331,13.26905776
040.41.06.001.00,0,0,0,48,3.761200116,7.728855824,12.85055465
040.41.07.008.00,0,0,1,40,4.17438727,8.704668113,13.48700649
040.43.05.010.00,0,0,1,24,4.836281907,7.696212639,12.51355735
040.43.05.010.00,0,0,1,24,4.836281907,7.696212639,12.51355735
040.43.05.024.00,0,0,1,20,4.584967479,6.883462586,9.574983486
040.43.09.017.00,0,0,1,32,5.030437921,7.390181428,12.25486281
040.43.09.025.00,0,0,1,29,4.770684624,6.931471806,9.903487553
040.43.09.043.00,0,0,0,48,4.852030264,7.636752112,10.46310334
040.44.01.025.00,0,0,0,48,4.919980926,7.496652438,9.200290036
040.44.01.025.00,0,0,0,48,4.919980926,7.496652438,9.200290036
040.44.01.038.00,0,0,0,48,4.543294782,7.303843225,10.91508846
040.44.01.038.00,0,0,0,48,4.543294782,7.303843225,10.91508846
040.44.01.039.00,0,0,1,31,4.59511985,7.090076836,10.30895266
040.44.01.039.00,0,0,1,31,4.59511985,7.090076836,10.30895266
040.44.03.045.00,0,0,0,48,4.204692619,7.418180823,9.210340372
040.44.03.045.00,0,0,0,48,4.204692619,7.418180823,9.210340372
040.44.04.024.00,0,0,0,48,4.770684624,7.207118856,9.803667217
040.44.04.024.00,0,0,0,48,4.770684624,7.207118856,9.803667217
040.44.04.026.00,0,0,0,48,4.077537444,6.907755279,10.08580911
040.44.08.020.00,0,0,0,48,5.062595033,8.036249942,12.4292162
040.44.14.001.00,0,0,1,15,4.634728988,7.87245515,11.15625052
040.44.14.001.00,0,0,1,15,4.634728988,7.87245515,11.15625052
040.44.14.001.00,0,0,1,15,4.634728988,7.87245515,11.15625052
040.44.17.010.00,0,0,1,28,3.970291914,7.756195344,9.680344001
040.44.17.010.00,0,0,1,28,3.970291914,7.756195344,9.680344001
040.44.18.016.00,0,0,1,12,4.691347882,7.941295571,10.41331268
040.44.18.026.00,0,0,0,48,4.605170186,7.236339343,10.30895266
041.30.02.006.66,0,0,1,45,2.302585093,8.04462628,12.8967167
041.40.01.015.00,0,0,1,28,3.951243719,7.093404626,11.00209984
041.40.30.014.00,0,0,0,48,3.912023005,7.05012252,10.81977828
044.00.00.049.03,0,1,0,20,3.17805383,8.386628821,12.43718437
044.20.00.067.01,0,0,0,48,3.295836866,7.944492164,11.9381932
045.00.00.016.00,0,0,0,48,3.526360525,7.847762537,11.08214255
045.00.00.018.00,0,0,0,48,4.043051268,7.531552381,10.66895539
