id,date,hap,fdummy,sdummy,spell
040.00.00.008.03,42552,0,0,0,36
040.00.00.019.00,42552,0,0,0,36
040.10.02.006.03,42644,1,0,0,36
040.10.02.010.00,42401,0,0,0,36
040.10.02.010.00,42401,0,0,0,36
040.10.02.011.00,42522,0,0,0,36
040.11.07.002.01,42583,0,0,0,36
040.11.07.002.02,42583,0,0,1,5
040.13.00.034.00,42583,0,0,1,16
040.13.00.035.00,42583,0,0,1,16
040.14.06.005.00,42614,0,1,0,5
040.14.06.014.02,42552,0,0,0,36
040.14.07.011.00,42522,0,0,1,13
040.14.08.026.00,42522,0,0,0,36
040.14.14.021.00,42552,0,0,0,36
040.14.24.005.00,42583,0,0,0,36
040.23.02.002.00,42552,0,0,0,36
040.23.03.003.00,42583,0,0,0,36
040.30.00.001.13,42401,0,0,0,36
040.30.00.001.13,42401,0,0,0,36
040.30.00.001.14,42583,0,0,0,36
040.30.00.043.03,42522,0,0,0,36
040.30.00.044.00,42644,0,0,0,36
040.30.00.092.01,42401,0,1,0,3
040.30.00.129.00,42401,0,0,0,36
040.30.00.129.00,42401,0,0,0,36
040.30.00.130.00,42401,0,0,0,36
040.30.00.130.00,42401,0,0,0,36
040.30.00.144.00,42401,0,0,0,36
040.30.00.144.00,42401,0,0,0,36
040.32.01.025.00,42583,0,0,0,36
040.32.04.008.00,42644,0,0,0,36
040.32.05.002.01,42644,0,0,0,36
040.32.05.002.01,42644,0,0,0,36
040.34.07.001.00,42401,0,0,0,36
040.34.07.001.00,42401,0,0,0,36
040.41.05.002.00,42522,0,0,0,36
040.41.12.008.00,42614,0,0,0,36
040.41.12.010.00,42552,0,0,0,36
040.41.12.116.00,42644,0,0,0,36
040.41.12.116.00,42644,0,0,0,36
040.41.12.147.00,42401,0,0,0,36
040.41.12.147.00,42401,0,0,0,36
040.41.12.198.00,42614,0,0,1,7
040.41.12.229.00,42401,0,0,0,36
040.41.12.229.00,42401,0,0,0,36
040.43.02.009.04,42552,0,0,0,36
040.43.02.015.00,42614,0,0,0,36
040.43.02.019.00,42552,0,0,0,36
040.43.05.016.00,42644,0,0,0,36
040.43.05.019.00,42614,0,0,1,6
