id,date,hap,age,sqft,saleval,spell,fdummy,sdummy
040.14.06.005.00,9/1/16,0,4.976733742,6.946975992,11.37710574,5,1,0
040.14.14.021.00,7/1/16,0,4.779123493,6.839476438,10.54534144,36,0,0
040.23.03.003.00,8/1/16,0,4.060443011,8.040446881,12.5270686,36,0,0
040.30.00.001.13,2/1/16,0,3.091042453,7.473069088,11.79433792,36,0,0
040.30.00.001.13,2/1/16,0,3.091042453,7.473069088,11.79433792,36,0,0
040.30.00.001.14,8/1/16,0,3.135494216,7.552762084,12.15477935,36,0,0
040.30.00.044.00,10/1/16,0,4.094344562,7.874739125,12.88156489,36,0,0
040.32.05.002.01,10/1/16,0,4.543294782,8.006700845,13.03898177,36,0,0
040.32.05.002.01,10/1/16,0,4.543294782,8.006700845,13.03898177,36,0,0
040.43.06.027.00,9/1/16,0,4.927253685,7.40731771,10.95954023,36,0,0
040.43.10.010.00,8/1/16,0,0,7.956126351,6.684611728,14,0,1
040.43.10.010.00,8/1/16,0,0,7.956126351,6.684611728,14,0,1
040.43.12.031.00,6/1/16,0,4.905274778,7.724888439,12.64432758,36,0,0
040.44.01.039.00,7/1/16,0,4.59511985,7.090076836,8.342839804,21,0,1
040.44.01.040.00,2/1/16,0,4.615120517,7.090076836,10.4341158,36,0,0
040.44.01.040.00,2/1/16,0,4.615120517,7.090076836,10.4341158,36,0,0
040.44.08.021.00,10/1/16,0,4.248495242,7.696212639,8.342839804,19,1,0
040.44.09.044.00,10/1/16,0,4.912654886,7.861341796,11.74403719,36,0,0
040.44.09.044.00,10/1/16,0,4.912654886,7.861341796,11.74403719,36,0,0
040.44.10.002.00,7/1/16,0,4.983606622,7.901747519,11.92171836,36,0,0
040.44.14.001.00,8/1/16,0,4.634728988,7.87245515,12.59099485,36,0,0
040.44.17.010.00,8/1/16,0,3.970291914,7.756195344,12.67607627,12,0,1
040.44.17.012.00,9/1/16,0,5.062595033,7.901747519,11.22790651,36,0,0
040.44.18.016.00,9/1/16,0,4.691347882,7.941295571,10.46310334,36,0,0
041.33.04.010.00,9/1/16,0,4.927253685,7.818832444,11.56171563,36,0,0
041.33.06.044.00,9/1/16,0,4.584967479,7.235619141,10.80972795,8,0,1
041.33.06.044.00,6/1/16,0,4.584967479,7.235619141,10.80972795,8,0,1
041.33.07.006.00,9/1/16,0,4.779123493,7.252762418,10.91508846,5,0,1
041.40.31.012.00,10/1/16,0,3.871201011,7.084226422,11.2515607,25,0,1
041.40.31.012.00,10/1/16,0,3.871201011,7.084226422,11.2515607,25,0,1
042.30.00.084.01,2/1/16,0,5.236441963,8.133000219,12.72516401,36,0,0
042.30.00.084.01,2/1/16,0,5.236441963,8.133000219,12.72516401,36,0,0
045.00.00.022.00,2/1/16,0,0,6.980075941,11.28978191,36,0,0
045.00.00.022.00,2/1/16,0,0,6.980075941,11.28978191,36,0,0
045.00.00.031.00,10/1/16,0,3.951243719,7.065613364,10.94552949,10,1,0
045.00.01.191.00,2/1/16,0,2.890371758,7.526717561,11.84222921,29,0,1
045.00.01.191.00,2/1/16,0,2.890371758,7.526717561,11.84222921,29,0,1
045.00.01.197.00,10/1/16,0,2.890371758,7.273786318,11.72803684,6,1,0
045.00.01.197.00,9/1/16,0,2.890371758,7.273786318,11.72803684,6,1,0
045.00.01.264.00,8/1/16,0,2.890371758,7.455876687,11.87756858,36,0,0
045.00.02.032.00,10/1/16,0,2.772588722,8.372860821,12.80765263,36,0,0
045.00.02.032.00,10/1/16,0,2.772588722,8.372860821,12.80765263,36,0,0
045.10.00.004.00,7/1/16,0,4.406719247,7.007600614,9.952277717,36,0,0
045.10.01.080.03,7/1/16,0,2.995732274,7.305860033,11.97665948,36,0,0
045.10.01.093.00,9/1/16,0,3.044522438,7.467371067,12.06104687,36,0,0
045.10.01.099.00,9/1/16,0,3.044522438,7.841885929,11.97665948,16,0,1
045.10.01.105.00,8/1/16,0,2.995732274,7.630461262,11.55214618,36,0,0
045.10.01.123.00,10/1/16,0,3.044522438,7.620214771,11.64395373,4,1,0
045.10.01.123.00,9/1/16,0,3.044522438,7.620214771,11.64395373,4,1,0
045.30.00.017.00,6/1/16,0,3.688879454,7.215239979,11.08214255,36,0,0
045.30.00.238.00,8/1/16,0,3.713572067,7.235619141,10.80972795,7,0,1
045.30.00.287.00,9/1/16,0,3.871201011,6.856461985,10.1266311,36,0,0
045.30.00.287.00,1/1/16,0,3.871201011,6.856461985,10.1266311,36,0,0
045.30.00.314.00,6/1/16,0,3.951243719,7.384610383,11.51192496,36,0,0
045.30.00.490.00,8/1/16,0,4.007333185,6.882437471,11.71749763,36,0,0
045.30.00.539.00,6/1/16,0,3.688879454,7.299121463,11.58988651,36,0,0
045.30.00.650.00,6/1/16,0,3.871201011,7.092573716,11.60823564,36,0,0
045.30.01.033.00,6/1/16,0,2.944438979,7.38274645,11.46163217,8,0,1
045.30.01.033.00,6/1/16,0,2.944438979,7.38274645,11.46163217,8,0,1
045.30.01.033.00,6/1/16,0,2.944438979,7.38274645,11.46163217,8,0,1
045.40.00.142.00,6/1/16,1,3.044522438,6.933423026,11.6784399,36,0,0
045.40.00.178.02,8/1/16,0,4.584967479,7.336936914,11.48246626,36,0,0
054.14.12.011.00,9/1/16,0,4.927253685,7.996317232,13.00582956,26,0,1
054.14.15.007.00,2/1/16,0,4.736198448,8.76795191,14.25441044,36,0,0
054.14.15.007.00,2/1/16,0,4.736198448,8.76795191,14.25441044,36,0,0
054.14.15.008.00,6/1/16,0,4.770684624,9.274441297,0,36,0,0
054.21.02.003.00,10/1/16,0,5.062595033,8.06652149,11.29725393,36,0,0
054.21.02.003.00,10/1/16,0,5.062595033,8.06652149,11.29725393,36,0,0
054.21.05.010.00,8/1/16,0,5.062595033,7.952966791,12.44901882,36,0,0
054.21.06.023.00,6/1/16,0,4.521788577,7.688913337,11.79433792,36,0,0
